Category,Term,Definition,Sensitivity,PII_Category,CDE,Tags
Loss Prevention & Compliance,LP Case ID,Unique identifier for a loss-prevention case.,LOW,,Yes,loss-prevention;compliance;identifier;cde
Loss Prevention & Compliance,Loss Prevention Case,"A loss-prevention investigation: refund abuse, shrink, fraud or till shortage.",HIGH,,Yes,loss-prevention;compliance;cde
Loss Prevention & Compliance,Opened By Employee ID,Employee who opened the case.,LOW,,No,loss-prevention;compliance;identifier
Loss Prevention & Compliance,Opened Date,Date the case was opened.,LOW,,No,loss-prevention;compliance
Loss Prevention & Compliance,Store ID,"Store the case concerns, when applicable.",LOW,,No,loss-prevention;compliance;identifier
Store Operations,Email,Email address of the person.,HIGH,EMAIL,Yes,pii;personal-data;privacy;operational;cde
Store Operations,Employee ID,Unique identifier for an employee record.,LOW,,Yes,operational;identifier;cde
Store Operations,Employee Record,"A store staff member: role, store and status.",MEDIUM,,No,operational
Store Operations,Employee Status,Employment status: Active or Inactive.,LOW,,No,operational
Store Operations,First Name,Given name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;operational;cde
Store Operations,Hire Date,Date the employee was hired.,LOW,,No,operational
Store Operations,Last Name,Family name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;operational;cde
Store Operations,Manager Employee ID,Employee who manages the store.,LOW,,No,operational;identifier
Store Operations,Role Code,"Job role: CASHIER, SALES_ASSOC, ST_MGR, BUYER or LP_OFFICER.",LOW,,No,operational
Store Operations,Store Address,Street address of the store.,LOW,,No,operational
Store Operations,Store City,City the store operates in.,LOW,,No,operational
Store Operations,Store County,Arizona county the store sits in.,LOW,,No,operational
Store Operations,Store ID,Unique identifier for a store record.,LOW,,Yes,operational;identifier;cde
Store Operations,Store Name,Public-facing name of a CTO store.,LOW,,No,operational
Store Operations,Store Open Date,Date the store first opened.,LOW,,No,operational
Store Operations,Store Phone,Published phone number of the store.,LOW,,No,operational
Store Operations,Store Record,"A CTO retail store: location, manager and status.",LOW,,No,operational
Store Operations,Store Status,"Operating status: Open, Closed or Remodeling.",LOW,,No,operational
Store Operations,Store ZIP,ZIP code of the store address.,LOW,,No,operational
