Category,Term,Definition,Sensitivity,PII_Category,CDE,Tags
Payers,Contact Email,Business contact email of the payer.,MEDIUM,EMAIL,No,pii;personal-data;privacy;payer
Payers,Payer ID,Unique identifier for a payer record.,LOW,,Yes,payer;identifier;cde
Payers,Payer Name,Name of the insurance payer or program.,LOW,,No,payer
Payers,Payer Record,An insurance payer or coverage program.,LOW,,No,payer
Payers,Payer Status,Status: Active or OnHold.,LOW,,No,payer
Payers,Payer Type Code,"Coverage type: COMMERCIAL, MEDICARE, MEDICAID or SELF_PAY.",LOW,,No,payer
Payers,Phone,Business phone number of the payer.,LOW,,No,payer
Payers,St,US state code of the payer.,LOW,,No,payer
Privacy & Disclosures,Authorization Flag,TRUE when a signed HIPAA authorization is on file; required for MARKETING and RESEARCH.,MEDIUM,,Yes,privacy;compliance;cde
Privacy & Disclosures,Disclosed By Staff ID,Staff member who made the disclosure.,LOW,,No,privacy;compliance;identifier
Privacy & Disclosures,Disclosed Date,Date of the disclosure.,LOW,,No,privacy;compliance
Privacy & Disclosures,Disclosure ID,Unique identifier for a disclosure-log entry.,LOW,,Yes,privacy;compliance;identifier;cde
Privacy & Disclosures,Disclosure Log Entry,One entry in the HIPAA accounting of disclosures.,HIGH,,Yes,privacy;compliance;cde
Privacy & Disclosures,Disclosure Notes,Free-text detail of the disclosure; contains PHI context.,HIGH,,No,privacy;compliance;phi
Privacy & Disclosures,Patient ID,Patient whose PHI was disclosed.,HIGH,,Yes,privacy;compliance;identifier;cde
Privacy & Disclosures,Purpose Code,"Disclosure purpose: TPO, PATIENT_REQUEST, LEGAL, RESEARCH or MARKETING.",LOW,,Yes,privacy;compliance;cde
Privacy & Disclosures,Requested By,Person or organization that received the PHI.,HIGH,,No,privacy;compliance;phi
Clinic Operations,Clinic Address,Street address of the clinic.,LOW,,No,operational
Clinic Operations,Clinic City,City the clinic operates in.,LOW,,No,operational
Clinic Operations,Clinic County,Minnesota county the clinic sits in.,LOW,,No,operational
Clinic Operations,Clinic ID,Unique identifier for a clinic record.,LOW,,Yes,operational;identifier;cde
Clinic Operations,Clinic Name,Public-facing name of an LHP clinic.,LOW,,No,operational
Clinic Operations,Clinic Open Date,Date the clinic first opened.,LOW,,No,operational
Clinic Operations,Clinic Phone,Published phone number of the clinic.,LOW,,No,operational
Clinic Operations,Clinic Record,"An LHP clinic: location, manager and status.",LOW,,No,operational
Clinic Operations,Clinic Status,"Operating status: Open, Closed or Relocating.",LOW,,No,operational
Clinic Operations,Clinic ZIP,ZIP code of the clinic address.,LOW,,No,operational
Clinic Operations,Email,Email address of the person.,HIGH,EMAIL,Yes,pii;personal-data;privacy;operational;cde
Clinic Operations,First Name,Given name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;operational;cde
Clinic Operations,Hire Date,Date the staff member was hired.,LOW,,No,operational
Clinic Operations,Last Name,Family name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;operational;cde
Clinic Operations,License Number,State medical licence number of the provider.,MEDIUM,,Yes,operational;cde
Clinic Operations,Manager Staff ID,Staff member who manages the clinic.,LOW,,No,operational;identifier
Clinic Operations,NPI,National Provider Identifier - the national 10-digit provider id.,LOW,,Yes,operational;identifier;cde
Clinic Operations,Provider ID,Unique identifier for a provider record.,LOW,,Yes,operational;identifier;cde
Clinic Operations,Provider Record,"A credentialed provider: NPI, specialty, licence and clinic.",MEDIUM,,No,operational
Clinic Operations,Provider Status,"Status: Active, OnLeave or Departed.",LOW,,No,operational
Clinic Operations,Role Code,"Job role: RN, MA, FRONT_DESK, CLINIC_MGR, BILLING or HIM.",LOW,,No,operational
Clinic Operations,Specialty Code,"Specialty: FAMMED, PEDS, CARDIO, DERM, ORTHO or BEHAV.",LOW,,No,operational
Clinic Operations,Staff ID,Unique identifier for a staff record.,LOW,,Yes,operational;identifier;cde
Clinic Operations,Staff Record,"A non-provider staff member: role, clinic and status.",MEDIUM,,No,operational
Clinic Operations,Staff Status,Employment status: Active or Inactive.,LOW,,No,operational
